PlayerÂ ,09/11vs. LAC,09/17vs. DAL,09/24vs. BUF,10/01vs. OAK,10/15vs. NYG,10/22vs. LAC,10/30vs. KAN,11/05vs. PHI,11/12vs. NWE,11/19vs. CIN,11/26vs. OAK,12/03vs. MIA,12/10vs. NYJ,12/14vs. IND,12/24vs. WAS,12/31vs. KAN,Age,Pos,Salary
Garett Bolles,,,Q,,,,,,,,,,,,,,25.0,LT,465000.0
Devontae Booker,O,O,IR,,,,,,,,,,,,,,,,
Jake Butt,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Jared Crick,IR,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Todd Davis,,,,,,,Q,Q,Q,,,Q,,,,,25.0,RILB,2746000.0
A.J. Derby,,,,,,,,,,O,,,,,,,,,
Bennie Fowler,,,Q,,,,,,,,,,,,,,,,
Adam Gotsis,,,,,,,,,,,Q,,Q,,,,25.0,RDE,628996.0
Virgil Green,,,,,,,Q,,,,,,,,,,29.0,TE,2800000.0
Carlos Henderson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Jeff Heuerman,,,,,,,,,,O,Q,Q,,,,,25.0,TE,615000.0
Chad Kelly,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Zach Kerr,O,Q,,,,,,,,,,,,,,O,,,
Brendan Langley,,O,O,,,,,,,,,,,,,,,,
Cody Latimer,,,,Q,O,O,,,,Q,,,,,Q,O,,,
Ronald Leary,,Q,,,,,,Q,,,,IR,IR,IR,IR,IR,28.0,RG,2500000.0
Paxton Lynch,O,O,O,O,O,O,,,,,,O,O,O,Q,,,,
Isaiah McKenzie,,,,,,O,,,,,,,,,,,,,
Corey Nelson,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Domata Peko,,,,,,,,,,,Q,O,Q,Q,,,33.0,NT,2800000.0
Kyle Peko,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,
Shane Ray,IR,IR,IR,IR,IR,IR,,,,,Q,Q,,,IR,IR,24.0,lolb,1263991.0
Emmanuel Sanders,,,,,,O,Q,Q,Q,,Q,,Q,,Q,O,30.0,WR,6750000.0
Trevor Siemian,,,,,,,,,,,,,,,IR,IR,26.0,QB,615000.0
Justin Simmons,,,,,,,,,,,,,,IR,IR,IR,24.0,SS,540000.0
Donald Stephenson,,,,,,O,O,O,Q,Q,,,,,,Q,,,
Darian Stewart,,Q,,,,,,,,,,,,,,,29.0,FS,6000000.0
Billy Turner,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
DeMarcus Walker,,,,,,,,,,,,Q,,,,,,,
Menelik Watson,,,,,,O,,,IR,IR,IR,IR,IR,IR,IR,IR,29.0,RT,1500000.0
Billy Winn,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Derek Wolfe,,,,,,,Q,,,,,IR,IR,IR,IR,IR,27.0,LDE,5500000.0
