Player ,09/10vs. HOU,09/17vs. TEN,09/24vs. BAL,10/01vs. NYJ,10/08vs. PIT,10/15vs. LAR,10/22vs. IND,11/05vs. CIN,11/12vs. LAC,11/19vs. CLE,11/26vs. ARI,12/03vs. IND,12/10vs. SEA,12/17vs. HOU,12/24vs. SFO,12/31vs. TEN,01/07vs. BUF,01/14vs. PIT,01/21vs. NWE,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Arrelious Benn,,,,,,Q,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Michael Bennett,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Blair Brown,,,,,,,,,,Q,,,,,,Q,,Q,,,,,,,,,,,,,,
A.J. Cann,,,,,,,,Q,Q,,,,,,,,,,,60.0,26.0,RG,15.0,15.0,325.0,2020-06-03,South Carolina,1991-10-23,2,7.0,Jacksonville Jaguars / 3rd / 67th pick / 2015,721000.0
Leonard Fournette,,,,,,,Q,,,Q,,,,Q,,,,,,27.0,22.0,RB,13.0,13.0,228.0,2000-06-01,LSU,1995-01-18,Rook,8.0,Jacksonville Jaguars / 1st / 4th pick / 2017,465000.0
Tyler Gaffney,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Charles Gaines,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Tashaun Gipson,Q,,,Q,,,Q,,,,,,,,,,,,Q,39.0,27.0,SS,16.0,16.0,212.0,2020-06-01,Wyoming,1990-08-07,5,6.0,,5000000.0
Rashad Greene,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Chad Henne,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen Hurns,,,,,,,,,,O,O,O,O,O,Q,,,,,88.0,26.0,WR,10.0,8.0,195.0,2020-06-03,Miami (FL),1991-11-12,3,4.0,,7000000.0
Jeron Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Josh Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Abry Jones,,,,,,,,,,,,,,,,Q,,,,95.0,26.0,LDT,15.0,15.0,318.0,2020-06-04,Georgia,1991-09-08,4,8.0,,2500000.0
Marqise Lee,,,,,Q,,Q,Q,Q,,,,,,O,O,Q,,,11.0,26.0,WR,14.0,14.0,196.0,2000-06-01,USC,1991-11-25,3,6.0,Jacksonville Jaguars / 2nd / 39th pick / 2014,1125549.0
Brandon Linder,,,,,Q,O,O,,,,,,,,,,,,,65.0,25.0,C,13.0,13.0,315.0,2020-06-06,Miami (FL),1992-01-25,3,6.0,Jacksonville Jaguars / 3rd / 93rd pick / 2014,5500000.0
Lerentee McCray,,,O,O,O,,,,,,,Q,,,Q,,,,,,,,,,,,,,,,,
Jaydon Mickens,,,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,
Taurean Nixon,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Patrick Omameh,,,,,,Q,,,Q,Q,Q,Q,,,,,,,,77.0,28.0,LG,13.0,13.0,327.0,2020-06-04,Michigan,1989-12-29,4,6.0,,775000.0
Matt Overton,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jermey Parnell,,,,,,,,,Q,Q,Q,Q,,,,,,,,78.0,31.0,RT,13.0,13.0,326.0,2020-06-06,Mississippi,1986-07-20,6,8.0,,6500000.0
Donald Payne,,,,Q,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,
Larry Pinkard,,,,,,,,,,,,,,IR,O,IR,IR,IR,IR,,,,,,,,,,,,,
Calvin Pryor,,IR,IR,IR,IR,IR,IR,IR,IR,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jalen Ramsey,,Q,Q,,,,,,,,Q,,Q,,,,,,,,,,,,,,,,,,,
Mychal Rivera,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Allen Robinson,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Cam Robinson,,,Q,,,,,Q,,,,,,,,Q,,,,74.0,22.0,LT,15.0,15.0,320.0,2020-06-06,Alabama,1995-10-09,Rook,9.0,Jacksonville Jaguars / 2nd / 34th pick / 2017,465000.0
Edmond Robinson,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Telvin Smith,,,,,,,,,,,,O,Q,,,,,,,,,,,,,,,,,,,
Jaelen Strong,,,O,O,Q,,,,,,,,,,,IR,IR,IR,IR,,,,,,,,,,,,,
Carson Tinker,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Bryan Walters,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Josh Wells,,,,,,,,,,,,O,,,,,,,,,,,,,,,,,,,,
Dede Westbrook,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,12.0,24.0,wr,7.0,5.0,178.0,2000-06-01,"Blinn College (TX),Oklahoma",1993-11-21,Rook,3.0,Jacksonville Jaguars / 4th / 110th pick / 2017,348000.0
Marquez Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,,,,,,,,,,,,,
Jarrod Wilson,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.J. Yeldon,Q,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,
